i;i <= 10;if(i % 2 === 0);"if - console.log(""Par: "" + i)";"else - console.log(""Ímpar: "" + i)";i++ (i+1)
1;?;?;?;?;?
1;true;?;?;?;?
1;true;false;?;?;?
1;true;false;-;Ímpar: 1;?
1;true;false;-;Ímpar: 1;1+1 = 2
2;?;?;?;?;?
2;true;?;?;?;?
"2 ";true;true;?;?;?
2;true;true;Par: 2;-;?
2;" true";true;Par: 2;"- ";2+1 = 3
3;?;?;?;?;?
3;true;?;?;?;?
"3 ";true;false;-;?;?
"3 ";true;false;-;Ímpar: 3;?
3;true;false;-';Ímpar: 3;3+1 = 4
4;?;?;?;?;?
4;true;?;?;?;?
4;true;true;?;?;?
4;true;true;Par: 4;-;?
4;true;true;Par:4;-;4+1 = 5
;;;;;
;;;;;
10;true;true;Par: 10;-;10+1 = 11
11;?;?;?;?;?
11;false;-;-;-;-
;;;;;
